topology,amplitude,sample,hidden_node,reference_node,horizon_steps,H_cut,D_cut,lag_stride_frames,readout_time_delays,target_time_delays,number_of_terms,task_alpha_selected,basis_nmse_x,basis_nmse_y,basis_nmse_2d,basis_adequacy_label,Q_twIPC_raw,Q_twIPC_clipped,generic_total_ipc_raw,generic_total_ipc_clipped
topology_10_prestress,amp=2.5,sample_0,10,0,5,1,1,1,"[0, 1]","[5, 6]",2,0.01,0.2961083984106402,0.5181062994263687,0.30325125328419933,weak,1.7333222894984999,1.7333222894984999,1.9659660918126147,1.9659660918126147
topology_10_prestress,amp=2.5,sample_1,10,0,5,1,1,1,"[0, 1]","[5, 6]",2,0.01,0.29765033521515877,0.5017309785174122,0.3044741300815233,weak,1.7086871658250564,1.7086871658250564,1.9779559635298702,1.9779559635298702
topology_10_prestress,amp=2.5,sample_2,10,0,5,1,1,1,"[0, 1]","[5, 6]",2,0.01,0.2964645142524613,0.5088722581923845,0.30332501579786314,weak,1.7101447532425351,1.7101447532425351,1.9747348682114878,1.9747348682114878
topology_10_prestress,amp=2.5,sample_3,10,0,5,1,1,1,"[0, 1]","[5, 6]",2,0.01,0.2974069459424694,0.512004770276427,0.3054779913350076,weak,1.7057733344339034,1.7057733344339034,1.967443424907966,1.967443424907966
topology_10_prestress,amp=2.5,sample_4,10,0,5,1,1,1,"[0, 1]","[5, 6]",2,0.01,0.29641828772366546,0.512947797817526,0.3034902545822158,weak,1.7269951614304953,1.7269951614304953,1.974446398189554,1.974446398189554
topology_11_prestress,amp=2.5,sample_0,10,0,5,1,1,1,"[0, 1]","[5, 6]",2,0.01,0.3079780503497576,0.4995399911264523,0.31563213102473037,weak,1.4058117099790346,1.4058117099790346,1.98013489228663,1.98013489228663
topology_11_prestress,amp=2.5,sample_1,10,0,5,1,1,1,"[0, 1]","[5, 6]",2,0.01,0.30837726721207015,0.5018346749871346,0.3160939349118648,weak,1.3674028716689608,1.3674028716689608,1.8850339917885992,1.8850339917885992
topology_11_prestress,amp=2.5,sample_2,10,0,5,1,1,1,"[0, 1]","[5, 6]",2,0.01,0.30739635040637586,0.49771601804528065,0.31493070671933754,weak,1.3813864473088253,1.3813864473088253,1.980004555970222,1.980004555970222
topology_11_prestress,amp=2.5,sample_3,10,0,5,1,1,1,"[0, 1]","[5, 6]",2,0.01,0.3072780984151693,0.4973227091413417,0.31483721342191284,weak,1.4038897653151956,1.4038897653151956,1.980398435101906,1.980398435101906
topology_11_prestress,amp=2.5,sample_4,10,0,5,1,1,1,"[0, 1]","[5, 6]",2,0.01,0.3069569415701297,0.4961532576459336,0.3144747537976249,weak,1.4057686835284686,1.4057686835284686,1.9791827112456233,1.9791827112456233
topology_12_prestress,amp=2.5,sample_0,10,0,5,1,1,1,"[0, 1]","[5, 6]",2,0.01,0.28231821383467537,0.5233932108255732,0.2921387546111201,weak,1.9782040896751854,1.9782040896751854,1.9734231781321339,1.9734231781321339
topology_12_prestress,amp=2.5,sample_1,10,0,5,1,1,1,"[0, 1]","[5, 6]",2,0.01,0.2817763161858739,0.5274679661287421,0.29154091398689375,weak,1.9706220686938314,1.9706220686938314,1.9742818985684294,1.9742818985684294
topology_12_prestress,amp=2.5,sample_2,10,0,5,1,1,1,"[0, 1]","[5, 6]",2,0.01,0.281142498200773,0.5285543240550229,0.29105498721078377,weak,1.9500408266580422,1.9500408266580422,1.9746871583383514,1.9746871583383514
topology_12_prestress,amp=2.5,sample_3,10,0,5,1,1,1,"[0, 1]","[5, 6]",2,0.01,0.2812272592221737,0.5273411045715283,0.2912387497917125,weak,1.9819316393141968,1.9819316393141968,1.9731307206267412,1.9731307206267412
topology_12_prestress,amp=2.5,sample_4,10,0,5,1,1,1,"[0, 1]","[5, 6]",2,0.01,0.28165704583257584,0.5320663104429888,0.2917987506834931,weak,1.9639562423669594,1.9639562423669594,1.9713901897691255,1.9713901897691255
topology_13_prestress,amp=2.5,sample_0,10,0,5,1,1,1,"[0, 1]","[5, 6]",2,0.01,0.301958260190839,0.7014454020396983,0.3197718501749678,weak,1.7818312931811475,1.7818312931811475,1.9767952484503395,1.9767952484503395
topology_13_prestress,amp=2.5,sample_1,10,0,5,1,1,1,"[0, 1]","[5, 6]",2,0.01,0.30435549961160374,0.6691508926208022,0.32105158306556164,weak,1.6099758208623896,1.6099758208623896,1.9747711960438976,1.9747711960438976
topology_13_prestress,amp=2.5,sample_2,10,0,5,1,1,1,"[0, 1]","[5, 6]",2,0.01,0.3042073160602695,0.6834423162564977,0.3222640901240138,weak,1.6061083116939756,1.6061083116939756,1.973825844268823,1.973825844268823
topology_13_prestress,amp=2.5,sample_3,10,0,5,1,1,1,"[0, 1]","[5, 6]",2,0.01,0.3042314571725747,0.6738456668084463,0.3212470456565044,weak,1.726184930489268,1.726184930489268,1.97472874714239,1.97472874714239
topology_13_prestress,amp=2.5,sample_4,10,0,5,1,1,1,"[0, 1]","[5, 6]",2,0.01,0.30401747002702634,0.6680825573710011,0.32056387593831104,weak,1.7226893939147518,1.7226893939147518,1.97518459864559,1.97518459864559
topology_14_prestress,amp=2.5,sample_0,10,0,5,1,1,1,"[0, 1]","[5, 6]",2,0.01,0.31932270796643125,0.9769985975633889,0.33374254323029434,weak,1.5456151532746387,1.5456151532746387,1.9751827386747838,1.9751827386747838
topology_14_prestress,amp=2.5,sample_1,10,0,5,1,1,1,"[0, 1]","[5, 6]",2,0.01,0.31736927760999595,0.9642735701559321,0.3308935057554348,weak,1.5523643761487822,1.5523643761487822,1.9754975039791285,1.9754975039791285
topology_14_prestress,amp=2.5,sample_2,10,0,5,1,1,1,"[0, 1]","[5, 6]",2,0.01,0.31423058153676225,0.9617756454526375,0.3275513091608139,weak,1.5676766989859265,1.5676766989859265,1.9748722396461376,1.9748722396461376
topology_14_prestress,amp=2.5,sample_3,10,0,5,1,1,1,"[0, 1]","[5, 6]",2,0.01,0.31853166661743165,0.9645269843175881,0.3317388975040294,weak,1.4335042261572752,1.4335042261572752,1.9778701703057902,1.9778701703057902
topology_14_prestress,amp=2.5,sample_4,10,0,5,1,1,1,"[0, 1]","[5, 6]",2,0.01,0.3152514735161975,0.9654489838825213,0.3290791423287105,weak,1.5641689157421281,1.5641689157421281,1.9785912847288318,1.9785912847288318
topology_15_prestress,amp=2.5,sample_0,10,0,5,1,1,1,"[0, 1]","[5, 6]",2,0.01,0.27719683305162457,0.6062674340468872,0.29267469996470996,weak,3.5546884634904083,3.5546884634904083,1.980148468704579,1.980148468704579
topology_15_prestress,amp=2.5,sample_1,10,0,5,1,1,1,"[0, 1]","[5, 6]",2,0.01,0.27688273241350075,0.6009687624356709,0.2918158778499182,weak,3.5756016281080845,3.5756016281080845,1.979036909066778,1.979036909066778
topology_15_prestress,amp=2.5,sample_2,10,0,5,1,1,1,"[0, 1]","[5, 6]",2,0.01,0.2776738901702597,0.5973080400277397,0.2925804972451102,weak,3.5983735880082013,3.5983735880082013,1.980820345838665,1.980820345838665
topology_15_prestress,amp=2.5,sample_3,10,0,5,1,1,1,"[0, 1]","[5, 6]",2,0.01,0.27685003944103664,0.5953056314928122,0.2915465706390158,weak,3.6103001914764996,3.6103001914764996,1.9782820850753278,1.9782820850753278
topology_15_prestress,amp=2.5,sample_4,10,0,5,1,1,1,"[0, 1]","[5, 6]",2,0.01,0.27791931610379467,0.6091046203287892,0.2935807006267667,weak,3.602691934886325,3.602691934886325,1.9790771183736608,1.9790771183736608
topology_16_prestress,amp=2.5,sample_0,10,0,5,1,1,1,"[0, 1]","[5, 6]",2,0.01,0.46803610078112,0.6724296131588959,0.4745054315686771,weak,1.8714223662606084,1.8714223662606084,1.9658416056103216,1.9658416056103216
topology_16_prestress,amp=2.5,sample_1,10,0,5,1,1,1,"[0, 1]","[5, 6]",2,0.01,0.4699492110799697,0.6495248581666724,0.4759062951642249,weak,1.841399585029617,1.841399585029617,1.9673027312969273,1.9673027312969273
topology_16_prestress,amp=2.5,sample_2,10,0,5,1,1,1,"[0, 1]","[5, 6]",2,0.01,0.4681634306058952,0.6674016379605016,0.47459012017142876,weak,1.8585244107254117,1.8585244107254117,1.9687255820934588,1.9687255820934588
topology_16_prestress,amp=2.5,sample_3,10,0,5,1,1,1,"[0, 1]","[5, 6]",2,0.01,0.4670541855935269,0.6781186862270205,0.4737980092067013,weak,1.8973177478514816,1.8973177478514816,1.9675211665022738,1.9675211665022738
topology_16_prestress,amp=2.5,sample_4,10,0,5,1,1,1,"[0, 1]","[5, 6]",2,0.01,0.46648306259676636,0.6755761178548317,0.47297527475414175,weak,1.8630874449491006,1.8630874449491006,1.96790588676634,1.96790588676634
