topology,amplitude,sample,target_component,group_type,group_value,c_alpha_x_sum,IPC_alpha_clipped_sum,weighted_contribution_x_sum,num_terms,basis_nmse_x,basis_adequacy_label_x
topology_10_prestress,amp=2.5,sample_0,x,degree,1,1.9970005545765162,2.8688071518647575,1.9847536701860138,3,0.2957550879601289,partial
topology_10_prestress,amp=2.5,sample_0,x,readout_time_delay,2,0.012515077367424965,0.902841060052143,0.011299125717040538,1,0.2957550879601289,partial
topology_10_prestress,amp=2.5,sample_0,x,target_time_delay,7,0.012515077367424965,0.902841060052143,0.011299125717040538,1,0.2957550879601289,partial
topology_10_prestress,amp=2.5,sample_0,x,readout_time_delay,1,0.32374700903892517,0.9659754836142307,0.31273167362503645,1,0.2957550879601289,partial
topology_10_prestress,amp=2.5,sample_0,x,target_time_delay,6,0.32374700903892517,0.9659754836142307,0.31273167362503645,1,0.2957550879601289,partial
topology_10_prestress,amp=2.5,sample_0,x,readout_time_delay,0,1.660738468170166,0.9999906081983839,1.6607228708439368,1,0.2957550879601289,partial
topology_10_prestress,amp=2.5,sample_0,x,target_time_delay,5,1.660738468170166,0.9999906081983839,1.6607228708439368,1,0.2957550879601289,partial
topology_10_prestress,amp=2.5,sample_1,x,degree,1,1.948874119669199,2.908060791476546,1.9412916913456166,3,0.29731203299001185,partial
topology_10_prestress,amp=2.5,sample_1,x,readout_time_delay,2,0.011648956686258316,0.9301048279466758,0.01083475085443057,1,0.29731203299001185,partial
topology_10_prestress,amp=2.5,sample_1,x,target_time_delay,7,0.011648956686258316,0.9301048279466758,0.01083475085443057,1,0.29731203299001185,partial
topology_10_prestress,amp=2.5,sample_1,x,readout_time_delay,1,0.3068811297416687,0.9779584748777332,0.3001170016109181,1,0.29731203299001185,partial
topology_10_prestress,amp=2.5,sample_1,x,target_time_delay,6,0.3068811297416687,0.9779584748777332,0.3001170016109181,1,0.29731203299001185,partial
topology_10_prestress,amp=2.5,sample_1,x,readout_time_delay,0,1.630344033241272,0.9999974886521369,1.630339938880268,1,0.29731203299001185,partial
topology_10_prestress,amp=2.5,sample_1,x,target_time_delay,5,1.630344033241272,0.9999974886521369,1.630339938880268,1,0.29731203299001185,partial
topology_10_prestress,amp=2.5,sample_2,x,degree,1,1.9596738452091813,2.899046438529592,1.9509115330650197,3,0.2961127114837593,partial
topology_10_prestress,amp=2.5,sample_2,x,readout_time_delay,2,0.011950337328016758,0.9243115703181041,0.011045835061490225,1,0.2961127114837593,partial
topology_10_prestress,amp=2.5,sample_2,x,target_time_delay,7,0.011950337328016758,0.9243115703181041,0.011045835061490225,1,0.2961127114837593,partial
topology_10_prestress,amp=2.5,sample_2,x,readout_time_delay,1,0.3105592727661133,0.9747435286065421,0.3027156413775229,1,0.2961127114837593,partial
topology_10_prestress,amp=2.5,sample_2,x,target_time_delay,6,0.3105592727661133,0.9747435286065421,0.3027156413775229,1,0.2961127114837593,partial
topology_10_prestress,amp=2.5,sample_2,x,readout_time_delay,0,1.6371642351150513,0.9999913396049458,1.6371500566260067,1,0.2961127114837593,partial
topology_10_prestress,amp=2.5,sample_2,x,target_time_delay,5,1.6371642351150513,0.9999913396049458,1.6371500566260067,1,0.2961127114837593,partial
topology_10_prestress,amp=2.5,sample_3,x,degree,1,1.9310258673503995,2.883747505278884,1.9201843863814223,3,0.29708692772287115,partial
topology_10_prestress,amp=2.5,sample_3,x,readout_time_delay,2,0.011034761555492878,0.9163040803709179,0.010111197039218261,1,0.29708692772287115,partial
topology_10_prestress,amp=2.5,sample_3,x,target_time_delay,7,0.011034761555492878,0.9163040803709179,0.010111197039218261,1,0.29708692772287115,partial
topology_10_prestress,amp=2.5,sample_3,x,readout_time_delay,1,0.29933640360832214,0.9675740129358732,0.28963012525709647,1,0.29708692772287115,partial
topology_10_prestress,amp=2.5,sample_3,x,target_time_delay,6,0.29933640360832214,0.9675740129358732,0.28963012525709647,1,0.29708692772287115,partial
topology_10_prestress,amp=2.5,sample_3,x,readout_time_delay,0,1.6206547021865845,0.9998694119720929,1.6204430640851075,1,0.29708692772287115,partial
topology_10_prestress,amp=2.5,sample_3,x,target_time_delay,5,1.6206547021865845,0.9998694119720929,1.6204430640851075,1,0.29708692772287115,partial
topology_10_prestress,amp=2.5,sample_4,x,degree,1,1.9560113418847322,2.9020059794568285,1.947434735723696,3,0.2961151318931877,partial
topology_10_prestress,amp=2.5,sample_4,x,readout_time_delay,2,0.010632174089550972,0.9275595812672748,0.009861974946464668,1,0.2961151318931877,partial
topology_10_prestress,amp=2.5,sample_4,x,target_time_delay,7,0.010632174089550972,0.9275595812672748,0.009861974946464668,1,0.2961151318931877,partial
topology_10_prestress,amp=2.5,sample_4,x,readout_time_delay,1,0.3053037226200104,0.974449992256457,0.2975032101429366,1,0.2961151318931877,partial
topology_10_prestress,amp=2.5,sample_4,x,target_time_delay,6,0.3053037226200104,0.974449992256457,0.2975032101429366,1,0.2961151318931877,partial
topology_10_prestress,amp=2.5,sample_4,x,readout_time_delay,0,1.640075445175171,0.9999964059330969,1.6400695506342948,1,0.2961151318931877,partial
topology_10_prestress,amp=2.5,sample_4,x,target_time_delay,5,1.640075445175171,0.9999964059330969,1.6400695506342948,1,0.2961151318931877,partial
topology_17_prestress,amp=1,sample_0,x,degree,1,7.186419367790222,2.9067005478139745,7.060074617726642,3,0.3179648059803594,partial
topology_17_prestress,amp=1,sample_0,x,readout_time_delay,2,0.7425328493118286,0.9290609690854283,0.6898582885594118,1,0.3179648059803594,partial
topology_17_prestress,amp=1,sample_0,x,target_time_delay,7,0.7425328493118286,0.9290609690854283,0.6898582885594118,1,0.3179648059803594,partial
topology_17_prestress,amp=1,sample_0,x,readout_time_delay,1,3.294673204421997,0.9776402077093712,3.221004995905621,1,0.3179648059803594,partial
topology_17_prestress,amp=1,sample_0,x,target_time_delay,6,3.294673204421997,0.9776402077093712,3.221004995905621,1,0.3179648059803594,partial
topology_17_prestress,amp=1,sample_0,x,readout_time_delay,0,3.1492133140563965,0.999999371019175,3.1492113332616083,1,0.3179648059803594,partial
topology_17_prestress,amp=1,sample_0,x,target_time_delay,5,3.1492133140563965,0.999999371019175,3.1492113332616083,1,0.3179648059803594,partial
topology_17_prestress,amp=1,sample_1,x,degree,1,7.183735609054565,2.2568467941068473,6.481427035937388,3,0.32359621496144664,partial
topology_17_prestress,amp=1,sample_1,x,readout_time_delay,2,0.7567946910858154,0.31171856198304415,0.2359069528216725,1,0.32359621496144664,partial
topology_17_prestress,amp=1,sample_1,x,target_time_delay,7,0.7567946910858154,0.31171856198304415,0.2359069528216725,1,0.32359621496144664,partial
topology_17_prestress,amp=1,sample_1,x,readout_time_delay,1,3.30627179145813,0.9451290048684896,3.1248533680855806,1,0.32359621496144664,partial
topology_17_prestress,amp=1,sample_1,x,target_time_delay,6,3.30627179145813,0.9451290048684896,3.1248533680855806,1,0.32359621496144664,partial
topology_17_prestress,amp=1,sample_1,x,readout_time_delay,0,3.12066912651062,0.9999992272553135,3.1206667150301346,1,0.32359621496144664,partial
topology_17_prestress,amp=1,sample_1,x,target_time_delay,5,3.12066912651062,0.9999992272553135,3.1206667150301346,1,0.32359621496144664,partial
topology_17_prestress,amp=1,sample_2,x,degree,1,7.335732579231262,2.909794432066232,7.205623996682789,3,0.3272184714662541,partial
topology_17_prestress,amp=1,sample_2,x,readout_time_delay,2,0.7931140661239624,0.9322071453274682,0.7393465995004799,1,0.3272184714662541,partial
topology_17_prestress,amp=1,sample_2,x,target_time_delay,7,0.7931140661239624,0.9322071453274682,0.7393465995004799,1,0.3272184714662541,partial
topology_17_prestress,amp=1,sample_2,x,readout_time_delay,1,3.4061617851257324,0.9775880708783566,3.329823128620644,1,0.3272184714662541,partial
topology_17_prestress,amp=1,sample_2,x,target_time_delay,6,3.4061617851257324,0.9775880708783566,3.329823128620644,1,0.3272184714662541,partial
topology_17_prestress,amp=1,sample_2,x,readout_time_delay,0,3.1364567279815674,0.9999992158604071,3.1364542685616654,1,0.3272184714662541,partial
topology_17_prestress,amp=1,sample_2,x,target_time_delay,5,3.1364567279815674,0.9999992158604071,3.1364542685616654,1,0.3272184714662541,partial
topology_17_prestress,amp=1,sample_3,x,degree,1,7.494923949241638,2.90816412016744,7.358391841827968,3,0.33195228481329137,partial
topology_17_prestress,amp=1,sample_3,x,readout_time_delay,2,0.8312214612960815,0.9306189929050627,0.7735504791924339,1,0.33195228481329137,partial
topology_17_prestress,amp=1,sample_3,x,target_time_delay,7,0.8312214612960815,0.9306189929050627,0.7735504791924339,1,0.33195228481329137,partial
topology_17_prestress,amp=1,sample_3,x,readout_time_delay,1,3.511991500854492,0.977545673773417,3.4331320979893185,1,0.33195228481329137,partial
topology_17_prestress,amp=1,sample_3,x,target_time_delay,6,3.511991500854492,0.977545673773417,3.4331320979893185,1,0.33195228481329137,partial
topology_17_prestress,amp=1,sample_3,x,readout_time_delay,0,3.1517109870910645,0.9999994534889605,3.1517092646462164,1,0.33195228481329137,partial
topology_17_prestress,amp=1,sample_3,x,target_time_delay,5,3.1517109870910645,0.9999994534889605,3.1517092646462164,1,0.33195228481329137,partial
topology_17_prestress,amp=1,sample_4,x,degree,1,7.435908377170563,2.912745517773315,7.30900311260439,3,0.32951221434860906,partial
topology_17_prestress,amp=1,sample_4,x,readout_time_delay,2,0.8137429356575012,0.9337878873974299,0.7598632967722008,1,0.32951221434860906,partial
topology_17_prestress,amp=1,sample_4,x,target_time_delay,7,0.8137429356575012,0.9337878873974299,0.7598632967722008,1,0.32951221434860906,partial
topology_17_prestress,amp=1,sample_4,x,readout_time_delay,1,3.4704198837280273,0.9789583592184438,3.397396555173452,1,0.32951221434860906,partial
topology_17_prestress,amp=1,sample_4,x,target_time_delay,6,3.4704198837280273,0.9789583592184438,3.397396555173452,1,0.32951221434860906,partial
topology_17_prestress,amp=1,sample_4,x,readout_time_delay,0,3.151745557785034,0.9999992711574411,3.151743260658737,1,0.32951221434860906,partial
topology_17_prestress,amp=1,sample_4,x,target_time_delay,5,3.151745557785034,0.9999992711574411,3.151743260658737,1,0.32951221434860906,partial
